,MDS_x,MDS_y,country,iso_alpha,continent,tsne_x,tsne_y,scluster6,kmeans6
0,-5.319642644956287,5.025168823686812,Afghanistan,AFG,Asia,11.472093,6.166798,5,3
12,-0.5910618710201915,-2.947755459854285,Albania,ALB,Europe,-0.2767706,-3.172609,1,5
24,-1.1727105137258553,-0.3262024274461044,Algeria,DZA,Africa,1.9384449,0.26977584,1,1
36,-3.189323222289361,6.016461372704542,Angola,AGO,Africa,11.602348,6.9005136,5,3
48,2.657254249404511,-1.611899155394907,Argentina,ARG,Americas,-3.4731004,-4.40601,4,5
60,7.822835104345212,-1.8096001021774544,Australia,AUS,Oceania,-8.981041,-5.0958796,3,0
72,7.159823072350887,-2.552017278245879,Austria,AUT,Europe,-8.183307,-5.056214,3,0
84,6.39435533864659,0.6826487557329336,Bahrain,BHR,Asia,-8.781119,-6.1871514,3,0
96,-4.089815968966381,1.3569186090630463,Bangladesh,BGD,Asia,7.864157,2.846809,0,3
108,7.336613507900729,-2.124981313786017,Belgium,BEL,Europe,-8.4587965,-5.0387235,3,0
120,-3.631699782323424,2.1526307883002933,Benin,BEN,Africa,7.881501,4.0318704,0,3
132,-2.6132750067814707,1.0746343782388614,Bolivia,BOL,Americas,5.891339,2.068446,0,1
144,-0.7463015816156786,-2.8142586457716754,Bosnia and Herzegovina,BIH,Europe,-0.046247333,-2.9134197,1,5
156,-0.7116134629384818,2.290442704454599,Botswana,BWA,Africa,6.733014,0.73201346,0,1
168,-0.20528035568353223,-0.837070337118632,Brazil,BRA,Americas,0.4548148,-0.9606113,1,1
180,1.0729244621335134,-2.9009242368071,Bulgaria,BGR,Europe,-2.277256,-3.6475294,4,5
192,-4.4086527790797,3.0059956132647057,Burkina Faso,BFA,Africa,9.594602,4.9334135,5,3
204,-4.121219692336196,3.6195835632170974,Burundi,BDI,Africa,9.400894,5.946741,5,3
216,-4.920045396157191,1.4693531545683929,Cambodia,KHM,Asia,9.324077,2.7147834,0,3
228,-3.1944490999912705,2.638699590519152,Cameroon,CMR,Africa,7.7770953,4.8192363,0,3
240,8.998988167403368,-1.6361466427611995,Canada,CAN,Americas,-9.520951,-4.934506,3,0
252,-3.8886484933222905,3.8678605629173597,Central African Republic,CAF,Africa,9.400965,5.9850707,5,3
264,-3.734200571666843,2.841716225232842,Chad,TCD,Africa,8.6466255,4.9827776,5,3
276,0.7506091168729864,-2.1908437416175532,Chile,CHL,Americas,-1.5492396,-2.5569885,4,5
288,-2.564241689370169,-1.7988296087156954,China,CHN,Asia,2.763841,-1.4538616,1,1
300,-0.6711561678005802,-1.4990299651582921,Colombia,COL,Americas,0.54891753,-1.8077763,1,1
312,-3.298957350658044,1.002261297719029,Comoros,COM,Africa,6.380407,2.6026678,0,3
324,-3.764601293585685,3.9998262724660782,"Congo, Dem. Rep.",COD,Africa,9.237625,6.3258367,5,3
336,-1.8334499929547703,1.9318885646159838,"Congo, Rep.",COG,Africa,6.6922436,1.5433203,0,3
348,0.5057955885557122,-3.117438119812668,Costa Rica,CRI,Americas,-1.3498254,-3.3476348,4,5
360,-2.7277320209954534,3.0388231564988457,Cote d'Ivoire,CIV,Africa,7.528748,5.420422,0,3
372,2.403603187607026,-2.4043564956099837,Croatia,HRV,Europe,-3.8062017,-3.6706443,4,5
384,1.3032474121877824,-3.393822855148514,Cuba,CUB,Americas,-2.306295,-4.2655015,4,5
396,5.047062413024549,-1.4515221341956588,Czech Republic,CZE,Europe,-6.8474407,-3.9037652,2,2
408,8.487436990046982,-1.8060051007764661,Denmark,DNK,Europe,-9.280423,-4.6910853,3,0
420,-3.1717045345282786,2.967029100149689,Djibouti,DJI,Africa,8.689916,4.230464,0,3
432,-1.6894504506712738,-1.2410140023749665,Dominican Republic,DOM,Americas,1.9090129,-1.157317,1,1
444,0.0322651626585654,-0.8982924276810341,Ecuador,ECU,Americas,0.26585793,-0.64365315,1,1
456,-2.3800236313433207,0.00988885702733242,Egypt,EGY,Africa,3.5028641,1.128638,0,1
468,-0.8281479143586424,-0.19607162211104143,El Salvador,SLV,Americas,1.4257824,0.3046238,1,1
480,-4.532398344077124,3.6352325329614024,Equatorial Guinea,GNQ,Africa,10.840536,5.1393704,5,3
492,-4.613575096406861,2.5297006117442997,Eritrea,ERI,Africa,9.708694,4.258201,5,3
504,-4.561421243487621,3.152763262634788,Ethiopia,ETH,Africa,9.879885,5.085511,5,3
516,6.005276620671195,-2.3908582669735985,Finland,FIN,Europe,-7.594994,-4.6988287,2,2
528,6.8746246469058265,-2.502102242882821,France,FRA,Europe,-8.115304,-4.7171993,3,0
540,1.7506635532197856,3.421784426363607,Gabon,GAB,Africa,-0.08533021,2.054866,0,4
552,-5.272552969350293,2.256376927811216,Gambia,GMB,Africa,10.139393,3.6501133,5,3
564,7.680250475051336,-2.048700940432354,Germany,DEU,Europe,-8.700408,-4.7486167,3,0
576,-3.150046394333213,1.3298885651115242,Ghana,GHA,Africa,6.365042,3.108934,0,3
588,4.364316670132904,-3.201152118117639,Greece,GRC,Europe,-6.120861,-4.4799733,2,2
600,-1.5949274677434795,0.22789067858955725,Guatemala,GTM,Americas,2.5462193,0.8597722,1,1
612,-5.101578741650013,2.998911046531263,Guinea,GIN,Africa,10.55517,4.521344,5,3
624,-5.333930276244109,4.465112870221802,Guinea-Bissau,GNB,Africa,11.276317,5.8118844,5,3
636,-3.3070053589697457,1.7357517776565459,Haiti,HTI,Americas,7.344373,3.326074,0,3
648,-1.9600521526300687,-0.266668786592529,Honduras,HND,Americas,2.8638387,0.33594543,1,1
660,4.470271598380529,-4.489425893892841,"Hong Kong, China",HKG,Asia,-6.3409724,-5.4738436,2,2
672,3.3736864043917567,-1.5797573249880832,Hungary,HUN,Europe,-4.3244247,-4.3181686,4,5
684,7.697625840053991,-3.171574241161823,Iceland,ISL,Europe,-8.5109,-4.2143493,3,0
696,-3.4530438223794846,0.5980996940119293,India,IND,Asia,5.4674983,2.5334826,0,1
708,-3.41178212486232,-0.010183695406067207,Indonesia,IDN,Asia,4.5173573,1.8934304,0,1
720,0.28494821567729,0.46106671455242576,Iran,IRN,Asia,0.55672127,0.80240434,1,1
732,1.418451266429553,2.0283968170551634,Iraq,IRQ,Asia,0.21830827,2.1045232,0,4
744,4.738848830571127,-3.650538503480887,Ireland,IRL,Europe,-6.492173,-5.1261115,2,2
756,4.554256350200915,-2.981880247966585,Israel,ISR,Asia,-6.343861,-4.4617405,2,2
768,5.427354067460802,-3.00312731993695,Italy,ITA,Europe,-7.065435,-4.744055,2,2
780,1.0882087875409177,-2.4586459140494203,Jamaica,JAM,Americas,-2.1885586,-3.504746,4,5
792,5.6393429729299545,-4.156663695137663,Japan,JPN,Asia,-7.120478,-5.277736,2,2
804,-1.765315673099701,-0.7981131882051316,Jordan,JOR,Asia,2.555234,-0.25557372,1,1
816,-2.486732971466931,1.9026437352212087,Kenya,KEN,Africa,6.0823545,4.0003414,0,3
828,-1.4550432492417233,-1.938339656631593,"Korea, Dem. Rep.",KOR,Asia,1.1508255,-2.27876,1,1
840,1.0609790652206659,-0.7762803469068423,"Korea, Rep.",KOR,Asia,-0.9515237,-1.302828,1,1
852,1.4629649689288335,-1.1370480086128176,Lebanon,LBN,Asia,-2.5714724,-2.8459215,4,5
864,-2.4876803942380823,3.2151697779515995,Lesotho,LSO,Africa,6.588021,5.198247,0,3
876,-4.243742104877772,4.384658986918035,Liberia,LBR,Africa,10.065023,6.491618,5,3
888,-0.27703553066813624,-5.35853164429554,Libya,LBY,Africa,-0.8476455,1.5343735,0,4
900,-3.9195741431007045,2.162500092247801,Madagascar,MDG,Africa,8.569466,3.7593856,0,3
912,-4.5620950701146015,3.586564065084934,Malawi,MWI,Africa,10.052601,5.6256547,5,3
924,-0.46243474907478477,-1.709328573512627,Malaysia,MYS,Asia,0.0058847615,-1.6913295,1,1
936,-4.917261776342653,3.1413370596034986,Mali,MLI,Africa,10.383759,4.8440413,5,3
948,-3.338674539612411,1.0101491800557245,Mauritania,MRT,Africa,6.3105693,2.6620197,0,3
960,-0.4787176709530984,-1.8357841710416765,Mauritius,MUS,Africa,0.08239096,-2.1345446,1,1
972,1.0227950335748814,-1.39551038075778,Mexico,MEX,Americas,-1.7892404,-2.224089,4,5
984,-2.735032771309286,0.19677076983563752,Mongolia,MNG,Asia,4.584555,1.3851017,0,1
996,1.4855627821443946,-2.9524977830089547,Montenegro,MNE,Europe,-2.7833402,-3.6624694,4,5
1008,-2.3102472391746853,-0.3172857307604228,Morocco,MAR,Africa,3.2790275,0.5076805,1,1
1020,-4.956721242144886,4.363962750609012,Mozambique,MOZ,Africa,10.803391,6.0523605,5,3
1032,-3.608855535295199,0.5784521693266452,Myanmar,MMR,Asia,5.497011,2.8912587,0,3
1044,-1.4804367074091653,1.717606356487799,Namibia,NAM,Africa,6.50336,1.2928455,0,1
1056,-4.290773255194154,1.459428082025814,Nepal,NPL,Asia,8.271894,2.883618,0,3
1068,8.49198675310355,-2.333318392520511,Netherlands,NLD,Europe,-9.145378,-4.399845,3,0
1080,7.278754026246525,-0.9429606665491114,New Zealand,NZL,Oceania,-8.925881,-5.5370135,3,0
1092,-1.3123452379006384,-0.013919776688038746,Nicaragua,NIC,Americas,2.032741,0.75637525,1,1
1104,-4.805451606267751,2.8775119957656523,Niger,NER,Africa,10.222109,4.5092807,5,3
1116,-4.053627983128652,3.743504708840166,Nigeria,NGA,Africa,9.886434,5.758087,5,3
1128,10.337371430422591,-2.438890987228045,Norway,NOR,Europe,-9.701414,-4.1077385,3,0
1140,-1.1339707769391885,-4.156531815380551,Oman,OMN,Asia,2.5323808,-2.9906676,1,4
1152,-2.952895987420314,0.4632676859090476,Pakistan,PAK,Asia,5.1009674,1.9635926,0,1
1164,0.44944833412474877,-2.3305533943847743,Panama,PAN,Americas,-1.3044652,-2.9625802,4,5
1176,-0.802468880059111,-2.6187201153143795,Paraguay,PRY,Americas,0.16576886,-3.2720487,1,5
1188,-0.3115044668283329,0.16892042588694567,Peru,PER,Americas,1.0920876,0.6638597,1,1
1200,-1.967366593638012,-1.08504462888417,Philippines,PHL,Asia,2.3861256,-1.0723122,1,1
1212,2.0609909770469925,-2.5097682692156966,Poland,POL,Europe,-3.3013656,-3.7708938,4,5
1224,2.8472934312846547,-2.759607484446068,Portugal,PRT,Europe,-5.082673,-3.751857,2,2
1236,3.0028713099680853,-3.262402695791003,Puerto Rico,PRI,Americas,-5.081401,-3.9561067,2,2
1248,-0.05763377983628251,-2.18301871924618,Reunion,REU,Africa,-0.72557265,-2.4549046,1,5
1260,1.5241009779838381,-2.0973435534478506,Romania,ROU,Europe,-2.8671188,-3.4210362,4,5
1272,-3.8320861806430893,5.657896998818748,Rwanda,RWA,Africa,10.166111,7.311149,5,3
1284,-2.5768346821514654,-0.29847210189741874,Sao Tome and Principe,STP,Africa,4.1945996,0.40837273,0,1
1296,6.87597552446408,3.6187645698067037,Saudi Arabia,SAU,Asia,-8.66525,-7.010808,3,4
1308,-3.579191236134814,1.2705378436416506,Senegal,SEN,Africa,7.199503,2.7893703,0,3
1320,2.563225604962068,-1.7865324084888794,Serbia,SRB,Europe,-3.7745507,-3.6532953,4,5
1332,-5.170751963405168,5.419091119240805,Sierra Leone,SLE,Africa,11.459876,6.438865,5,3
1344,3.999525108890761,-5.265481473434509,Singapore,SGP,Asia,-6.2276416,-5.74621,2,2
1356,3.2403147025384667,-2.099302830900374,Slovak Republic,SVK,Europe,-4.2625136,-4.251048,4,5
1368,4.510229009188097,-2.2165594061540177,Slovenia,SVN,Europe,-6.2417126,-4.1450906,2,2
1380,-4.551257452174716,4.389190065753824,Somalia,SOM,Africa,10.661752,6.222183,5,3
1392,0.32920855353171474,2.1582949448158724,South Africa,ZAF,Africa,0.49448454,2.286214,0,1
1404,4.275116265305713,-3.5287381131165705,Spain,ESP,Europe,-6.095639,-4.6749587,2,2
1416,-1.5919123184580894,-2.7454273611854556,Sri Lanka,LKA,Asia,0.6412644,-3.0008216,1,1
1428,-3.561647138918831,2.1220106830698873,Sudan,SDN,Africa,8.146522,3.733649,0,3
1440,-1.9688223125324038,3.28252950244101,Swaziland,SWZ,Africa,6.734594,5.3507323,0,3
1452,7.834396142002422,-2.5703647797868143,Sweden,SWE,Europe,-8.727465,-4.3994107,3,0
1464,12.042750626804924,-0.3826434430148452,Switzerland,CHE,Europe,-10.356149,-4.7481728,3,0
1476,-1.606594566175631,-1.1657082624432102,Syria,SYR,Asia,2.0145886,-0.73569936,1,1
1488,2.8769299110560937,-1.481493118056081,Taiwan,TWN,Asia,-4.785113,-2.6868103,2,2
1500,-3.5164568673250893,2.8733999356192834,Tanzania,TZA,Africa,8.250087,5.3788524,5,3
1512,-1.7056083470262653,-1.5173070749326103,Thailand,THA,Asia,1.5574703,-1.677628,1,1
1524,-3.22572164955181,1.4423448901820592,Togo,TGO,Africa,6.5086126,3.214955,0,3
1536,1.433941789708869,-1.6341232187101777,Trinidad and Tobago,TTO,Americas,-2.7420852,-3.005251,4,5
1548,-1.7126232308039675,-1.1056562430397512,Tunisia,TUN,Africa,2.327145,-0.55347705,1,1
1560,-1.1972352823236783,-0.5145610680642823,Turkey,TUR,Europe,1.6985853,-0.21394324,1,1
1572,-3.290276784868233,3.3099022912806397,Uganda,UGA,Africa,8.2617655,5.834277,5,3
1584,7.577427310714443,-1.5709070589000549,United Kingdom,GBR,Europe,-8.883256,-5.2322145,3,0
1596,10.713976433935542,-0.724102710865177,United States,USA,Americas,-10.06983,-4.6391397,3,0
1608,1.7107562783961663,-3.10103564327938,Uruguay,URY,Americas,-2.7529626,-4.3417687,4,5
1620,3.4257523679936432,-0.11820018260624092,Venezuela,VEN,Americas,-3.6541128,-5.021017,4,5
1632,-3.3169732455715564,-0.8605839218195553,Vietnam,VNM,Asia,3.790136,1.0402578,0,1
1644,-1.50322764536739,-0.9302275989442762,West Bank and Gaza,PSE,Asia,2.147619,-0.3279303,1,1
1656,-4.70257326476963,1.6647573031696086,"Yemen, Rep.",YEM,Asia,9.225173,3.1471648,0,3
1668,-2.796553297371924,4.32854815799751,Zambia,ZMB,Africa,8.323561,6.5477366,5,3
1680,-1.4358779101343744,3.6950654028235825,Zimbabwe,ZWE,Africa,5.973159,5.209404,0,3
